iter	Passed	Remaining
0	152	152768
1	159	79704
2	168	55931
3	177	44293
4	180	35969
5	183	30346
6	185	26322
7	188	23356
8	196	21633
9	200	19823
10	202	18215
11	205	16882
12	207	15739
13	210	14790
14	212	13962
15	214	13217
16	217	12563
17	221	12096
18	224	11616
19	229	11224
20	232	10818
21	234	10445
22	237	10109
23	240	9790
24	244	9553
25	247	9279
26	251	9075
27	255	8881
28	259	8681
29	263	8529
30	269	8409
31	271	8221
32	275	8059
33	278	7926
34	283	7807
35	286	7667
36	289	7522
37	292	7396
38	295	7279
39	298	7156
40	300	7037
41	304	6936
42	307	6842
43	311	6758
44	314	6681
45	317	6583
46	320	6505
47	324	6428
48	327	6351
49	329	6263
50	332	6180
51	335	6111
52	337	6038
53	341	5988
54	344	5923
55	347	5860
56	350	5793
57	352	5732
58	355	5666
59	357	5600
60	360	5543
61	362	5484
62	364	5426
63	367	5367
64	369	5319
65	372	5264
66	374	5211
67	376	5160
68	378	5113
69	381	5065
70	384	5028
71	387	4996
72	390	4957
73	392	4916
74	395	4872
75	397	4836
76	400	4803
77	404	4785
78	407	4754
79	410	4716
80	412	4677
81	418	4679
82	420	4648
83	423	4617
84	426	4592
85	430	4579
86	435	4570
87	438	4543
88	441	4515
89	447	4529
90	452	4523
91	458	4528
92	467	4556
93	471	4539
94	481	4589
95	485	4567
96	488	4546
97	492	4532
98	495	4512
99	498	4490
100	501	4468
101	504	4444
102	507	4420
103	510	4396
104	513	4378
105	516	4355
106	519	4336
107	522	4313
108	525	4294
109	528	4277
110	531	4256
111	534	4237
112	537	4216
113	540	4200
114	543	4185
115	547	4172
116	551	4161
117	554	4141
118	557	4125
119	560	4107
120	564	4098
121	568	4094
122	571	4077
123	574	4059
124	577	4043
125	580	4024
126	582	4003
127	584	3983
128	587	3966
129	589	3946
130	591	3926
131	594	3906
132	596	3890
133	599	3871
134	601	3852
135	603	3833
136	606	3818
137	609	3805
138	613	3797
139	616	3786
140	618	3769
141	621	3753
142	624	3742
143	627	3731
144	630	3718
145	633	3706
146	638	3702
147	641	3692
148	644	3682
149	647	3670
150	651	3660
151	657	3670
152	663	3674
153	666	3663
154	672	3664
155	675	3652
156	677	3639
157	681	3629
158	692	3660
159	695	3650
160	702	3660
161	706	3653
162	709	3642
163	712	3630
164	716	3628
165	720	3622
166	723	3609
167	726	3597
168	731	3597
169	734	3587
170	737	3576
171	740	3564
172	743	3553
173	746	3541
174	750	3538
175	754	3530
176	758	3528
177	763	3525
178	767	3520
179	770	3510
180	774	3503
181	778	3498
182	781	3488
183	784	3477
184	787	3467
185	790	3457
186	792	3446
187	796	3438
188	798	3427
189	801	3418
190	804	3409
191	807	3398
192	810	3387
193	813	3378
194	818	3377
195	824	3380
196	827	3373
197	830	3364
198	835	3362
199	838	3352
200	841	3344
201	846	3343
202	853	3351
203	856	3341
204	859	3334
205	863	3327
206	866	3318
207	868	3308
208	871	3298
209	875	3292
210	882	3299
211	888	3303
212	893	3299
213	897	3295
214	900	3286
215	906	3289
216	909	3282
217	912	3271
218	915	3263
219	920	3262
220	923	3253
221	926	3246
222	929	3237
223	931	3228
224	936	3226
225	940	3219
226	945	3218
227	947	3208
228	953	3211
229	956	3203
230	959	3194
231	963	3189
232	966	3182
233	969	3172
234	972	3164
235	974	3155
236	977	3147
237	980	3137
238	982	3129
239	985	3119
240	987	3110
241	989	3099
242	992	3090
243	994	3081
244	997	3072
245	999	3062
246	1001	3054
247	1004	3044
248	1006	3035
249	1009	3027
250	1012	3021
251	1016	3016
252	1019	3009
253	1022	3003
254	1031	3014
255	1034	3005
256	1036	2997
257	1039	2990
258	1042	2981
259	1044	2974
260	1047	2966
261	1051	2961
262	1054	2955
263	1057	2948
264	1061	2943
265	1063	2933
266	1065	2925
267	1068	2918
268	1071	2911
269	1073	2903
270	1077	2897
271	1079	2888
272	1081	2881
273	1085	2875
274	1088	2870
275	1092	2864
276	1097	2864
277	1102	2862
278	1104	2854
279	1107	2848
280	1110	2840
281	1113	2834
282	1115	2827
283	1118	2819
284	1120	2811
285	1123	2805
286	1127	2800
287	1130	2794
288	1134	2790
289	1137	2784
290	1140	2779
291	1143	2772
292	1145	2764
293	1147	2756
294	1150	2748
295	1153	2742
296	1155	2734
297	1157	2726
298	1159	2718
299	1162	2711
300	1164	2703
301	1166	2696
302	1169	2690
303	1171	2683
304	1174	2675
305	1176	2668
306	1178	2661
307	1181	2654
308	1183	2646
309	1186	2641
310	1190	2636
311	1193	2632
312	1195	2624
313	1198	2617
314	1201	2612
315	1204	2607
316	1207	2602
317	1210	2595
318	1212	2589
319	1214	2581
320	1217	2576
321	1220	2568
322	1222	2561
323	1224	2554
324	1227	2548
325	1229	2541
326	1232	2535
327	1235	2532
328	1238	2525
329	1240	2518
330	1242	2511
331	1245	2505
332	1248	2500
333	1250	2494
334	1253	2487
335	1255	2481
336	1257	2474
337	1260	2468
338	1275	2487
339	1278	2482
340	1281	2477
341	1284	2471
342	1286	2464
343	1288	2457
344	1294	2457
345	1298	2455
346	1303	2452
347	1312	2458
348	1315	2452
349	1317	2446
350	1320	2440
351	1324	2439
352	1328	2435
353	1331	2430
354	1334	2425
355	1337	2419
356	1340	2413
357	1343	2408
358	1345	2402
359	1347	2396
360	1350	2390
361	1352	2383
362	1354	2377
363	1357	2371
364	1359	2364
365	1361	2358
366	1363	2352
367	1366	2346
368	1368	2340
369	1371	2334
370	1373	2328
371	1376	2323
372	1378	2317
373	1381	2311
374	1383	2305
375	1386	2300
376	1388	2294
377	1392	2290
378	1396	2288
379	1398	2282
380	1401	2276
381	1403	2270
382	1405	2264
383	1407	2258
384	1410	2252
385	1412	2247
386	1415	2241
387	1417	2236
388	1420	2230
389	1422	2224
390	1425	2219
391	1427	2213
392	1429	2207
393	1431	2201
394	1433	2196
395	1436	2190
396	1444	2193
397	1447	2189
398	1450	2184
399	1456	2184
400	1459	2179
401	1462	2175
402	1465	2171
403	1473	2173
404	1477	2170
405	1481	2166
406	1486	2165
407	1489	2160
408	1492	2156
409	1495	2151
410	1500	2151
411	1503	2145
412	1506	2141
413	1509	2136
414	1516	2137
415	1520	2134
416	1523	2129
417	1525	2123
418	1530	2121
419	1532	2116
420	1535	2111
421	1537	2105
422	1539	2100
423	1542	2094
424	1545	2090
425	1548	2087
426	1552	2082
427	1555	2079
428	1558	2074
429	1560	2069
430	1563	2064
431	1566	2059
432	1568	2053
433	1570	2048
434	1572	2042
435	1575	2037
